           wavelength     intg_flux      intg_err    gauss_flux     gauss_err           eqw        eqw_err  ion      latex_label profile_label pixel_mask           w1           w2           w3           w4           w5           w6           w_i           w_f     peak_wave     peak_flux          cont      std_cont        m_cont        n_cont     snr_line  snr_cont    z_line           amp        center      sigma       amp_err  center_err  sigma_err         v_r    v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr   pixel_vel  FWHM_intg      FWHM_g         FWZI  v_med  v_50  v_5  v_10  v_90  v_95      chisqr    redchi        aic        bic observations comments  eqw_gaussian  eqw_gaussian_err
H1_3971A       3971.0  3.733385e-19  4.939573e-20  4.019137e-19  5.664001e-20    278.710328    1517.611533   H1      $HI3971\AA$            no         no  3951.517926  3958.189828  3963.527349  3973.312805  3984.936611  4016.967972  29254.616293  29326.413812  29290.515116  1.396551e-20  1.402706e-21  1.293374e-21  4.413472e-24 -1.278702e-19   129.090307  1.084532  6.376106  1.457463e-20  29284.235999  11.001335  2.553076e-21    1.887287   2.340274  -64.267626  19.316640  112.600178      23.953022       9.082224          NaN  183.714375        NaN  265.153157   551.143608    NaN   NaN  NaN   NaN   NaN   NaN   31.499669  1.574983  13.233105  16.639588           no       no    286.527398        267.262341
He1_4027A      4027.0  1.724824e-19  4.804118e-20  1.857578e-19  6.405302e-20     87.376813       5.497535  He1     $HeI4027\AA$            no         no  3986.830061  4015.155090  4021.039280  4033.154362  4034.211609  4044.660429  29685.393775  29775.136740  29739.239653  5.409894e-21  1.948100e-21  1.072065e-21 -1.122500e-24  3.533038e-20    65.682227  1.817147  6.384961  3.163164e-21  29719.704960  23.428016  1.019333e-21    9.414142   9.326735 -196.923449  94.901171  236.170883      94.020052       4.557702          NaN  180.934446        NaN  556.139929   723.738448    NaN   NaN  NaN   NaN   NaN   NaN   25.832866  1.291643   8.671527  12.078010           no       no     95.353319         61.924285
H1_4103A       4103.0  3.336451e-19  4.505935e-20  4.346584e-19  7.034737e-20    702.163645    3485.762742   H1      $HI4103\AA$            no         no  4073.649883  4087.518170  4095.935564  4108.433334  4115.876171  4140.575292  30241.786692  30313.576945  30277.681888  1.302588e-20  6.935706e-22  1.515453e-21 -7.763170e-25  2.419865e-20    89.880757  0.457666  6.379401  1.291578e-20  30275.956029  13.425722  1.911470e-21    2.698904   2.204235  -17.088481  26.723022  132.933893      21.825092       9.082224          NaN  177.706434        NaN  313.035395   533.120333    NaN   NaN  NaN   NaN   NaN   NaN   72.345048  3.445002  32.481436  36.015598           no       no    626.696691       1373.084680
H1_4342A       4342.0  8.386532e-19  4.407089e-20  8.292453e-19  6.658546e-20    875.779573   56100.384356   H1      $HI4342\AA$            no         no  4310.483370  4330.175848  4331.556164  4349.568741  4368.118344  4384.380354  31965.354144  32108.905741  32037.130266  1.900225e-20  2.036361e-22  1.139096e-21  3.032994e-24 -9.696480e-20   245.414824  0.178770  6.378427  1.671840e-20  32035.154777  19.787836  1.562844e-21    1.833382   1.707327  -18.485949  17.156157  185.167767      15.976584       9.082224          NaN  167.913316        NaN  436.036771  1175.394535    NaN   NaN  NaN   NaN   NaN   NaN   73.147996  3.324909  32.840223  36.496850           no       no   4072.192013      22781.302099
O3_4364A       4364.0  3.368605e-19  3.661434e-20  3.059309e-19  5.043552e-20    626.131396   34068.022739   O3  $[OIII]4364\AA$            no         no  4299.651146  4331.587374  4356.886082  4372.721331  4380.098100  4406.778999  32162.736921  32270.398178  32198.624171  9.348331e-21  2.028792e-22  1.390552e-21  5.772185e-25 -1.838276e-20    91.561663  0.145898  6.378237  9.279730e-21  32196.551163  13.152192  1.384607e-21    2.684796   2.323045  -19.301198  24.997388  122.456409      21.629224       2.279635          NaN  167.067350        NaN  288.362808   835.337704    NaN   NaN  NaN   NaN   NaN   NaN  103.378961  3.445965  43.682499  48.172022           no       no   1507.946108      10338.585440
H1_4863A       4863.0  1.469950e-18  4.725337e-20  1.346634e-18  8.498977e-20   4434.158530   43347.672075   H1      $HI4863\AA$            no         no  4823.248541  4842.295165  4848.715437  4876.181741  4884.662569  4911.073965  35787.225277  35948.632425  35876.896436  3.810141e-20  2.735409e-22  1.339244e-21  1.682817e-24 -6.010072e-20   316.848877  0.204250  6.377523  3.856863e-20  35881.180163  13.929181  2.958471e-21    0.990480   0.906659   35.795440   8.276590  116.394223       7.576170       9.082224          NaN  149.859689        NaN  274.087450  1198.882745    NaN   NaN  NaN   NaN   NaN   NaN  144.701422  4.989704  54.285970  58.683178           no       no   4922.971300      24104.649598
O3_4960A       4960.0  2.734992e-18  5.114457e-20  2.753415e-18  7.633588e-20   3358.027493   11806.610092   O3  $[OIII]4960\AA$            no         no  4930.564822  4948.847417  4951.326308  4970.737458  4972.943680  4987.812350  36540.422093  36665.945733  36594.218264  7.081024e-20  8.221218e-22  9.117005e-22  1.466175e-24 -5.283140e-20   999.959847  0.901746  6.377867  7.760406e-20  36601.228842  14.154588  2.663539e-21    0.424783   0.349496   57.433072   3.479971  115.959270       2.863190       2.279635          NaN  146.904485        NaN  273.063214   881.429578    NaN   NaN  NaN   NaN   NaN   NaN   60.605147  2.885959  28.231824  31.765985           no       no   3349.157023       3715.242904
O3_5008A       5008.0  8.567972e-18  7.804129e-20  8.374002e-18  2.059097e-19  39202.815693  496990.478458   O3  $[OIII]5008\AA$            no         no  4978.016094  4995.169139  4996.144995  5021.324307  5022.805443  5039.591652  36881.122904  37060.431164  36952.846871  2.352013e-19  1.801929e-22  1.133048e-21 -3.845776e-24  1.422926e-19  2279.992548  0.159034  6.378763  2.259405e-19  36954.973238  14.785943  6.965201e-21    0.382962   0.309309   17.250871   3.106908  119.955962       2.509371       2.279635          NaN  145.469886        NaN  282.474705  1309.230992    NaN   NaN  NaN   NaN   NaN   NaN  178.339164  7.430799  56.971958  60.859468           no       no  46472.430379     292219.598552
H1_6565A       6565.0  3.130703e-18  7.688050e-20  3.232168e-18  1.136612e-19   1589.682206     412.496205   H1      $HI6565\AA$            no         no  6527.148220  6548.309516  6555.042670  6573.952812  6577.506533  6605.998166  48383.305389  48490.616388  48436.961282  7.971758e-20  2.143654e-21  1.487433e-21 -3.866587e-24  1.894294e-19   701.589710  1.441177  6.378060  8.241468e-20  48440.849248  15.645858  3.368875e-21    0.633905   0.554192   24.063918   3.923451   96.837418       3.430080       9.082224          NaN  110.696700        NaN  228.034694   553.487560    NaN   NaN  NaN   NaN   NaN   NaN   86.131798  2.970062  37.684568  42.081776           no       no   1507.784372       1047.560172
