                      SOURCEID  redshift    visit   disp      SRCNAME                                                                                                                                path
3772_Visit_2_G235M        3772  0.422214  Visit_2  G235M    2736_3772     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/3772/G235M_Visit_2_s03772_x1d_masked_bpx.fits
3772_Visit_2_G395M        3772  0.422175  Visit_2  G395M    2736_3772     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/3772/G395M_Visit_2_s03772_x1d_masked_bpx.fits
4580_Visit_1_G235M        4580  5.171302  Visit_1  G235M    2736_4580     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/4580/G235M_Visit_1_s04580_x1d_masked_bpx.fits
4580_Visit_1_G395M        4580  5.171127  Visit_1  G395M    2736_4580     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/4580/G395M_Visit_1_s04580_x1d_masked_bpx.fits
4580_Visit_2_G235M        4580  2.794424  Visit_2  G235M    2736_4580     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/4580/G235M_Visit_2_s04580_x1d_masked_bpx.fits
4580_Visit_2_G395M        4580  5.173370  Visit_2  G395M    2736_4580     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/4580/G395M_Visit_2_s04580_x1d_masked_bpx.fits
4590_Visit_1_G235M        4590  8.494434  Visit_1  G235M    2736_4590     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/4590/G235M_Visit_1_s04590_x1d_masked_bpx.fits
4590_Visit_1_G395M        4590  8.494434  Visit_1  G395M    2736_4590     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/4590/G395M_Visit_1_s04590_x1d_masked_bpx.fits
4590_Visit_2_G235M        4590  8.494434  Visit_2  G235M    2736_4590     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/4590/G235M_Visit_2_s04590_x1d_masked_bpx.fits
4590_Visit_2_G395M        4590  8.494434  Visit_2  G395M    2736_4590     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/4590/G395M_Visit_2_s04590_x1d_masked_bpx.fits
4798_Visit_1_G235M        4798       NaN  Visit_1  G235M    2736_4798     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/4798/G235M_Visit_1_s04798_x1d_masked_bpx.fits
4798_Visit_1_G395M        4798       NaN  Visit_1  G395M    2736_4798     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/4798/G395M_Visit_1_s04798_x1d_masked_bpx.fits
4798_Visit_2_G235M        4798       NaN  Visit_2  G235M    2736_4798     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/4798/G235M_Visit_2_s04798_x1d_masked_bpx.fits
4798_Visit_2_G395M        4798       NaN  Visit_2  G395M    2736_4798     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/4798/G395M_Visit_2_s04798_x1d_masked_bpx.fits
5144_Visit_1_G235M        5144  6.379402  Visit_1  G235M    2736_5144     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/5144/G235M_Visit_1_s05144_x1d_masked_bpx.fits
5144_Visit_1_G395M        5144  6.379402  Visit_1  G395M    2736_5144     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/5144/G395M_Visit_1_s05144_x1d_masked_bpx.fits
5144_Visit_2_G235M        5144  6.379402  Visit_2  G235M    2736_5144     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/5144/G235M_Visit_2_s05144_x1d_masked_bpx.fits
5144_Visit_2_G395M        5144  6.379402  Visit_2  G395M    2736_5144     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/5144/G395M_Visit_2_s05144_x1d_masked_bpx.fits
5735_Visit_1_G235M        5735  1.506534  Visit_1  G235M    2736_5735     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/5735/G235M_Visit_1_s05735_x1d_masked_bpx.fits
5735_Visit_1_G395M        5735  1.505998  Visit_1  G395M    2736_5735     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/5735/G395M_Visit_1_s05735_x1d_masked_bpx.fits
5735_Visit_2_G235M        5735  1.507262  Visit_2  G235M    2736_5735     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/5735/G235M_Visit_2_s05735_x1d_masked_bpx.fits
5735_Visit_2_G395M        5735  1.505875  Visit_2  G395M    2736_5735     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/5735/G395M_Visit_2_s05735_x1d_masked_bpx.fits
6113_Visit_1_G235M        6113       NaN  Visit_1  G235M    2736_6113     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/6113/G235M_Visit_1_s06113_x1d_masked_bpx.fits
6113_Visit_1_G395M        6113       NaN  Visit_1  G395M    2736_6113     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/6113/G395M_Visit_1_s06113_x1d_masked_bpx.fits
6113_Visit_2_G235M        6113       NaN  Visit_2  G235M    2736_6113     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/6113/G235M_Visit_2_s06113_x1d_masked_bpx.fits
6113_Visit_2_G395M        6113       NaN  Visit_2  G395M    2736_6113     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/6113/G395M_Visit_2_s06113_x1d_masked_bpx.fits
6355_Visit_1_G235M        6355  7.664646  Visit_1  G235M    2736_6355     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/6355/G235M_Visit_1_s06355_x1d_masked_bpx.fits
6355_Visit_1_G395M        6355  7.664646  Visit_1  G395M    2736_6355     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/6355/G395M_Visit_1_s06355_x1d_masked_bpx.fits
6355_Visit_2_G235M        6355  7.664646  Visit_2  G235M    2736_6355     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/6355/G235M_Visit_2_s06355_x1d_masked_bpx.fits
6355_Visit_2_G395M        6355  7.664023  Visit_2  G395M    2736_6355     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/6355/G395M_Visit_2_s06355_x1d_masked_bpx.fits
7570_Visit_1_G235M        7570       NaN  Visit_1  G235M    2736_7570     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/7570/G235M_Visit_1_s07570_x1d_masked_bpx.fits
7570_Visit_1_G395M        7570       NaN  Visit_1  G395M    2736_7570     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/7570/G395M_Visit_1_s07570_x1d_masked_bpx.fits
7570_Visit_2_G235M        7570       NaN  Visit_2  G235M    2736_7570     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/7570/G235M_Visit_2_s07570_x1d_masked_bpx.fits
7570_Visit_2_G395M        7570       NaN  Visit_2  G395M    2736_7570     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/7570/G395M_Visit_2_s07570_x1d_masked_bpx.fits
7677_Visit_1_G235M        7677       NaN  Visit_1  G235M    2736_7677     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/7677/G235M_Visit_1_s07677_x1d_masked_bpx.fits
7677_Visit_1_G395M        7677       NaN  Visit_1  G395M    2736_7677     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/7677/G395M_Visit_1_s07677_x1d_masked_bpx.fits
7677_Visit_2_G235M        7677       NaN  Visit_2  G235M    2736_7677     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/7677/G235M_Visit_2_s07677_x1d_masked_bpx.fits
7677_Visit_2_G395M        7677       NaN  Visit_2  G395M    2736_7677     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/7677/G395M_Visit_2_s07677_x1d_masked_bpx.fits
8140_Visit_1_G235M        8140  5.275796  Visit_1  G235M    2736_8140     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/8140/G235M_Visit_1_s08140_x1d_masked_bpx.fits
8140_Visit_1_G395M        8140  5.274685  Visit_1  G395M    2736_8140     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/8140/G395M_Visit_1_s08140_x1d_masked_bpx.fits
8140_Visit_2_G235M        8140  5.275055  Visit_2  G235M    2736_8140     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/8140/G235M_Visit_2_s08140_x1d_masked_bpx.fits
8140_Visit_2_G395M        8140  5.274040  Visit_2  G395M    2736_8140     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/8140/G395M_Visit_2_s08140_x1d_masked_bpx.fits
8277_Visit_1_G235M        8277       NaN  Visit_1  G235M    2736_8277     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/8277/G235M_Visit_1_s08277_x1d_masked_bpx.fits
8277_Visit_1_G395M        8277       NaN  Visit_1  G395M    2736_8277     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/8277/G395M_Visit_1_s08277_x1d_masked_bpx.fits
8277_Visit_2_G235M        8277       NaN  Visit_2  G235M    2736_8277     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/8277/G235M_Visit_2_s08277_x1d_masked_bpx.fits
8277_Visit_2_G395M        8277       NaN  Visit_2  G395M    2736_8277     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/8277/G395M_Visit_2_s08277_x1d_masked_bpx.fits
8498_Visit_1_G235M        8498       NaN  Visit_1  G235M    2736_8498     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/8498/G235M_Visit_1_s08498_x1d_masked_bpx.fits
8498_Visit_1_G395M        8498       NaN  Visit_1  G395M    2736_8498     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/8498/G395M_Visit_1_s08498_x1d_masked_bpx.fits
8498_Visit_2_G235M        8498       NaN  Visit_2  G235M    2736_8498     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/8498/G235M_Visit_2_s08498_x1d_masked_bpx.fits
8498_Visit_2_G395M        8498       NaN  Visit_2  G395M    2736_8498     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/8498/G395M_Visit_2_s08498_x1d_masked_bpx.fits
8506_Visit_1_G235M        8506  2.212058  Visit_1  G235M    2736_8506     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/8506/G235M_Visit_1_s08506_x1d_masked_bpx.fits
8506_Visit_1_G395M        8506  2.211416  Visit_1  G395M    2736_8506     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/8506/G395M_Visit_1_s08506_x1d_masked_bpx.fits
8506_Visit_2_G235M        8506  2.211481  Visit_2  G235M    2736_8506     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/8506/G235M_Visit_2_s08506_x1d_masked_bpx.fits
8506_Visit_2_G395M        8506  2.211052  Visit_2  G395M    2736_8506     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/8506/G395M_Visit_2_s08506_x1d_masked_bpx.fits
8717_Visit_1_G235M        8717       NaN  Visit_1  G235M    2736_8717     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/8717/G235M_Visit_1_s08717_x1d_masked_bpx.fits
8717_Visit_1_G395M        8717       NaN  Visit_1  G395M    2736_8717     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/8717/G395M_Visit_1_s08717_x1d_masked_bpx.fits
8717_Visit_2_G235M        8717       NaN  Visit_2  G235M    2736_8717     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/8717/G235M_Visit_2_s08717_x1d_masked_bpx.fits
8717_Visit_2_G395M        8717       NaN  Visit_2  G395M    2736_8717     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/8717/G395M_Visit_2_s08717_x1d_masked_bpx.fits
8883_Visit_1_G235M        8883       NaN  Visit_1  G235M    2736_8883     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/8883/G235M_Visit_1_s08883_x1d_masked_bpx.fits
8883_Visit_1_G395M        8883       NaN  Visit_1  G395M    2736_8883     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/8883/G395M_Visit_1_s08883_x1d_masked_bpx.fits
8883_Visit_2_G235M        8883       NaN  Visit_2  G235M    2736_8883     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/8883/G235M_Visit_2_s08883_x1d_masked_bpx.fits
8883_Visit_2_G395M        8883       NaN  Visit_2  G395M    2736_8883     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/8883/G395M_Visit_2_s08883_x1d_masked_bpx.fits
9239_Visit_1_G235M        9239  2.462980  Visit_1  G235M    2736_9239     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/9239/G235M_Visit_1_s09239_x1d_masked_bpx.fits
9239_Visit_1_G395M        9239  2.462354  Visit_1  G395M    2736_9239     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/9239/G395M_Visit_1_s09239_x1d_masked_bpx.fits
9239_Visit_2_G235M        9239  2.462417  Visit_2  G235M    2736_9239     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/9239/G235M_Visit_2_s09239_x1d_masked_bpx.fits
