                      SOURCEID  redshift    visit   disp      SRCNAME                                                                                                                                path
10511_Visit_1_G395M      10511  3.713247  Visit_1  G395M   2736_10511    /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/10511/G395M_Visit_1_s10511_x1d_masked_bpx.fits
10511_Visit_2_G235M      10511  3.713247  Visit_2  G235M   2736_10511    /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/10511/G235M_Visit_2_s10511_x1d_masked_bpx.fits
10511_Visit_2_G395M      10511  3.713247  Visit_2  G395M   2736_10511    /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/10511/G395M_Visit_2_s10511_x1d_masked_bpx.fits
10612_Visit_1_G235M      10612  7.659985  Visit_1  G235M   2736_10612    /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/10612/G235M_Visit_1_s10612_x1d_masked_bpx.fits
10612_Visit_1_G395M      10612  7.659985  Visit_1  G395M   2736_10612    /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/10612/G395M_Visit_1_s10612_x1d_masked_bpx.fits
10612_Visit_2_G235M      10612  7.659985  Visit_2  G235M   2736_10612    /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/10612/G235M_Visit_2_s10612_x1d_masked_bpx.fits
10612_Visit_2_G395M      10612  7.659369  Visit_2  G395M   2736_10612    /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/10612/G395M_Visit_2_s10612_x1d_masked_bpx.fits
101449_Visit_1_G235M    101449       NaN  Visit_1  G235M  2736_101449  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/101449/G235M_Visit_1_s101449_x1d_masked_bpx.fits
101449_Visit_1_G395M    101449       NaN  Visit_1  G395M  2736_101449  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/101449/G395M_Visit_1_s101449_x1d_masked_bpx.fits
101449_Visit_2_G235M    101449       NaN  Visit_2  G235M  2736_101449  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/101449/G235M_Visit_2_s101449_x1d_masked_bpx.fits
101449_Visit_2_G395M    101449       NaN  Visit_2  G395M  2736_101449  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/101449/G395M_Visit_2_s101449_x1d_masked_bpx.fits
102423_Visit_1_G235M    102423       NaN  Visit_1  G235M  2736_102423  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/102423/G235M_Visit_1_s102423_x1d_masked_bpx.fits
102423_Visit_1_G395M    102423       NaN  Visit_1  G395M  2736_102423  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/102423/G395M_Visit_1_s102423_x1d_masked_bpx.fits
102423_Visit_2_G235M    102423       NaN  Visit_2  G235M  2736_102423  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/102423/G235M_Visit_2_s102423_x1d_masked_bpx.fits
102423_Visit_2_G395M    102423       NaN  Visit_2  G395M  2736_102423  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/102423/G395M_Visit_2_s102423_x1d_masked_bpx.fits
102539_Visit_1_G235M    102539  1.344289  Visit_1  G235M  2736_102539  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/102539/G235M_Visit_1_s102539_x1d_masked_bpx.fits
102539_Visit_1_G395M    102539  1.343589  Visit_1  G395M  2736_102539  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/102539/G395M_Visit_1_s102539_x1d_masked_bpx.fits
102539_Visit_2_G235M    102539  1.343890  Visit_2  G235M  2736_102539  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/102539/G235M_Visit_2_s102539_x1d_masked_bpx.fits
102539_Visit_2_G395M    102539  1.343890  Visit_2  G395M  2736_102539  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/102539/G395M_Visit_2_s102539_x1d_masked_bpx.fits
102673_Visit_1_G235M    102673  0.374659  Visit_1  G235M  2736_102673  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/102673/G235M_Visit_1_s102673_x1d_masked_bpx.fits
102673_Visit_1_G395M    102673  0.374610  Visit_1  G395M  2736_102673  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/102673/G395M_Visit_1_s102673_x1d_masked_bpx.fits
102673_Visit_2_G235M    102673  0.374896  Visit_2  G235M  2736_102673  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/102673/G235M_Visit_2_s102673_x1d_masked_bpx.fits
102673_Visit_2_G395M    102673  0.374658  Visit_2  G395M  2736_102673  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/102673/G395M_Visit_2_s102673_x1d_masked_bpx.fits
102711_Visit_1_G235M    102711       NaN  Visit_1  G235M  2736_102711  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/102711/G235M_Visit_1_s102711_x1d_masked_bpx.fits
102711_Visit_1_G395M    102711       NaN  Visit_1  G395M  2736_102711  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/102711/G395M_Visit_1_s102711_x1d_masked_bpx.fits
102711_Visit_2_G235M    102711       NaN  Visit_2  G235M  2736_102711  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/102711/G235M_Visit_2_s102711_x1d_masked_bpx.fits
102711_Visit_2_G395M    102711       NaN  Visit_2  G395M  2736_102711  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/102711/G395M_Visit_2_s102711_x1d_masked_bpx.fits
102730_Visit_1_G235M    102730       NaN  Visit_1  G235M  2736_102730  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/102730/G235M_Visit_1_s102730_x1d_masked_bpx.fits
102730_Visit_1_G395M    102730       NaN  Visit_1  G395M  2736_102730  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/102730/G395M_Visit_1_s102730_x1d_masked_bpx.fits
102730_Visit_2_G235M    102730       NaN  Visit_2  G235M  2736_102730  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/102730/G235M_Visit_2_s102730_x1d_masked_bpx.fits
102730_Visit_2_G395M    102730       NaN  Visit_2  G395M  2736_102730  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/102730/G395M_Visit_2_s102730_x1d_masked_bpx.fits
102744_Visit_1_G235M    102744       NaN  Visit_1  G235M  2736_102744  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/102744/G235M_Visit_1_s102744_x1d_masked_bpx.fits
102744_Visit_1_G395M    102744       NaN  Visit_1  G395M  2736_102744  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/102744/G395M_Visit_1_s102744_x1d_masked_bpx.fits
102744_Visit_2_G235M    102744       NaN  Visit_2  G235M  2736_102744  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/102744/G235M_Visit_2_s102744_x1d_masked_bpx.fits
102744_Visit_2_G395M    102744       NaN  Visit_2  G395M  2736_102744  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/102744/G395M_Visit_2_s102744_x1d_masked_bpx.fits
102751_Visit_1_G235M    102751  1.427899  Visit_1  G235M  2736_102751  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/102751/G235M_Visit_1_s102751_x1d_masked_bpx.fits
102751_Visit_1_G395M    102751  1.427899  Visit_1  G395M  2736_102751  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/102751/G395M_Visit_1_s102751_x1d_masked_bpx.fits
102751_Visit_2_G235M    102751  1.428149  Visit_2  G235M  2736_102751  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/102751/G235M_Visit_2_s102751_x1d_masked_bpx.fits
102751_Visit_2_G395M    102751  1.427899  Visit_2  G395M  2736_102751  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/102751/G395M_Visit_2_s102751_x1d_masked_bpx.fits
102798_Visit_1_G235M    102798  1.219672  Visit_1  G235M  2736_102798  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/102798/G235M_Visit_1_s102798_x1d_masked_bpx.fits
102798_Visit_1_G395M    102798  1.219672  Visit_1  G395M  2736_102798  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/102798/G395M_Visit_1_s102798_x1d_masked_bpx.fits
102798_Visit_2_G235M    102798  1.219672  Visit_2  G235M  2736_102798  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/102798/G235M_Visit_2_s102798_x1d_masked_bpx.fits
102798_Visit_2_G395M    102798  1.219672  Visit_2  G395M  2736_102798  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/102798/G395M_Visit_2_s102798_x1d_masked_bpx.fits
102933_Visit_1_G235M    102933       NaN  Visit_1  G235M  2736_102933  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/102933/G235M_Visit_1_s102933_x1d_masked_bpx.fits
102933_Visit_1_G395M    102933       NaN  Visit_1  G395M  2736_102933  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/102933/G395M_Visit_1_s102933_x1d_masked_bpx.fits
102933_Visit_2_G235M    102933       NaN  Visit_2  G235M  2736_102933  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/102933/G235M_Visit_2_s102933_x1d_masked_bpx.fits
102933_Visit_2_G395M    102933       NaN  Visit_2  G395M  2736_102933  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/102933/G395M_Visit_2_s102933_x1d_masked_bpx.fits
102934_Visit_1_G235M    102934  1.219903  Visit_1  G235M  2736_102934  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/102934/G235M_Visit_1_s102934_x1d_masked_bpx.fits
102934_Visit_1_G395M    102934  1.219903  Visit_1  G395M  2736_102934  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/102934/G395M_Visit_1_s102934_x1d_masked_bpx.fits
102934_Visit_2_G235M    102934  1.220625  Visit_2  G235M  2736_102934  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/102934/G235M_Visit_2_s102934_x1d_masked_bpx.fits
102934_Visit_2_G395M    102934  1.219903  Visit_2  G395M  2736_102934  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/102934/G395M_Visit_2_s102934_x1d_masked_bpx.fits
103091_Visit_1_G235M    103091       NaN  Visit_1  G235M  2736_103091  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/103091/G235M_Visit_1_s103091_x1d_masked_bpx.fits
103091_Visit_1_G395M    103091       NaN  Visit_1  G395M  2736_103091  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/103091/G395M_Visit_1_s103091_x1d_masked_bpx.fits
103091_Visit_2_G235M    103091       NaN  Visit_2  G235M  2736_103091  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/103091/G235M_Visit_2_s103091_x1d_masked_bpx.fits
103091_Visit_2_G395M    103091       NaN  Visit_2  G395M  2736_103091  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/103091/G395M_Visit_2_s103091_x1d_masked_bpx.fits
103157_Visit_1_G235M    103157       NaN  Visit_1  G235M  2736_103157  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/103157/G235M_Visit_1_s103157_x1d_masked_bpx.fits
103157_Visit_1_G395M    103157       NaN  Visit_1  G395M  2736_103157  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/103157/G395M_Visit_1_s103157_x1d_masked_bpx.fits
103157_Visit_2_G235M    103157       NaN  Visit_2  G235M  2736_103157  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/103157/G235M_Visit_2_s103157_x1d_masked_bpx.fits
103157_Visit_2_G395M    103157       NaN  Visit_2  G395M  2736_103157  /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/103157/G395M_Visit_2_s103157_x1d_masked_bpx.fits
